"_","Id","Name","AccountId__c","ccrz__BillTo__c","Billing_Address__c","Billing_City_State_Zip__c","Bulk_Product_Count__c","Billing_Company_Name__c","ccrz__BuyerCompanyName__c","ccrz__ShipMethod__c","Average_Gross_Profit_Margin__c","Average_Per_Unit_Profit_Margin__c","Average_Net_Profit_Margin__c","ccrz__OrderNumber__c","Total_Cost__c","ccrz__TotalDiscount__c","Total_Weight__c"
"[ccrz__E_Order__c]","a0n5d00000VVh9nAAD","O-0000021621","0013h00000zug6v","a0P5d00001E9o7ZEAR","Northeast Lubricants, LTD<br>4500 Renaissance Parkway<br>Cleveland, OH 44128<br>United States","Cleveland, OH 44128","0","Northeast Lubricants, LTD","","Common Carrier Prepay","","","","1021621","6057.47","","4248.78"
"[ccrz__E_Order__c]","a0n5d00000VVhAHAA1","O-0000021622","0013h00000zug6v","a0P5d00001E9oCjEAJ","Northeast Lubricants, LTD<br>4500 Renaissance Parkway<br>Cleveland, OH 44128<br>United States","Cleveland, OH 44128","0","Northeast Lubricants, LTD","","Common Carrier Prepay","","","","1021622","2177.88","","2131.4"
"[ccrz__E_Order__c]","a0n5d00000VVhAWAA1","O-0000021623","0013h00000zssaO","a0P5d00001E9oFnEAJ","Brenntag Lubricants Northeast<br>1064 Goffs Falls Road<br>Manchester, NH 03103<br>United States","Manchester, NH 03103","1","Brenntag Lubricants Northeast","","ALS Tanker","","","","1021623","33741","","50085"
"[ccrz__E_Order__c]","a0n5d00000VVhAbAAL","O-0000021624","0013h00000xrz4p","a0P5d00001E9oGREAZ","Sunoco Inc.<br>Ten Penn Center 1818 Market Street, Suite 1500<br>Philadelphia, PA 19103<br>United States","Philadelphia, PA 19103","0","Sunoco Inc.","","Buyback","","","","1021624","708.55","","676.94"
"[ccrz__E_Order__c]","a0n5d00000VVhAlAAL","O-0000021625","0013h00000zug6v","a0P5d00001E9oHjEAJ","Northeast Lubricants, LTD<br>4500 Renaissance Parkway<br>Cleveland, OH 44128<br>United States","Cleveland, OH 44128","4","Northeast Lubricants, LTD","","Common Carrier Prepay","","","","1021625","22040","","46446.84"
"[ccrz__E_Order__c]","a0n5d00000VVhAqAAL","O-0000021626","0013h00000zug6v","a0P5d00001E9oIcEAJ","Northeast Lubricants, LTD<br>4500 Renaissance Parkway<br>Cleveland, OH 44128<br>United States","Cleveland, OH 44128","3","Northeast Lubricants, LTD","","ALS Tanker","","","","1021626","43560","","47227.35"
"[ccrz__E_Order__c]","a0n5d00000VVhB5AAL","O-0000021627","0013h00000ztCQY","a0P5d00001E9oJpEAJ","Campbell Oil Co<br>P. O. Box 637<br>Elizabethtown, NC 28337<br>United States","Elizabethtown, NC 28337","0","Campbell Oil Co","","Common Carrier Prepay","","","","1021627","19950","","8266"
"[ccrz__E_Order__c]","a0n5d00000VVhBLAA1","O-0000021628","0013h00000zssaO","a0P5d00001E9oLlEAJ","Brenntag Lubricants Northeast<br>1064 Goffs Falls Road<br>Manchester, NH 03103<br>United States","Manchester, NH 03103","3","Brenntag Lubricants Northeast","","ALS Tanker","","","","1021628","39718","","47207.27"
"[ccrz__E_Order__c]","a0n5d00000VVhBVAA1","O-0000021629","0013h00000zssaO","a0P5d00001E9oNIEAZ","Brenntag Lubricants Northeast<br>1064 Goffs Falls Road<br>Manchester, NH 03103<br>United States","Manchester, NH 03103","3","Brenntag Lubricants Northeast","","ALS Tanker","","","","1021629","42474","","44203.45"
"[ccrz__E_Order__c]","a0n5d00000VVhBaAAL","O-0000021630","0013h00000zufgW","a0P5d00001E9oNmEAJ","International Chemical Co.<br>2628 North Mascher Street<br>Philadelphia, PA 19133<br>United States","Philadelphia, PA 19133","0","International Chemical Co.","","Customer Pickup","","","","1021630","1243.72","","1784.4"
"[ccrz__E_Order__c]","a0n5d00000VVhBkAAL","O-0000021631","0013h00000zugGd","a0P5d00001E9oOzEAJ","Petrochoice<br>640 Freedom Business Center Drive Suite 400<br>Fort Washington, PA 19034<br>United States","Fort Washington, PA 19034","4","Petrochoice","","ALS Tanker","","","","1021631","40595","","46094.46"
"[ccrz__E_Order__c]","a0n5d00000VVhBpAAL","O-0000021632","0013h00000zssaO","a0P5d00001E9oSXEAZ","Brenntag Lubricants Northeast<br>1064 Goffs Falls Road<br>Manchester, NH 03103<br>United States","Manchester, NH 03103","0","Brenntag Lubricants Northeast","","Common Carrier Prepay","","","","1021632","12945.12","","13303.6"
"[ccrz__E_Order__c]","a0n5d00000VVhC9AAL","O-0000021633","0013h000012WikX","a0P5d00001E9oUTEAZ","Milliken Design, Inc<br>2501 West Fulton Street<br>Chicago, IL 60612<br>United States","Chicago, IL 60612","0","Milliken Design, Inc","","Common Carrier Cust Acct","","","","1021633","398.03","","464.47"
"[ccrz__E_Order__c]","a0n5d00000VVhCOAA1","O-0000021634","0013h00000JQpjg","a0P5d00001E9oX8EAJ","Taylor Oil<br>77 2nd Street<br>Somerville, NJ 08876<br>United States","Somerville, NJ 08876","0","Taylor Oil","","Customer Pickup","","","","1021634","240.2","","240.3"
"[ccrz__E_Order__c]","a0n5d00000VVhCYAA1","O-0000021635","0013h00000t5b9B","a0P5d00001E9oXNEAZ","Central Supply Company<br>4923 Benedum Drive<br>Bridgeport, WV 26330<br>United States","Bridgeport, WV 26330","1","Central Supply Company","","Buyback","","","","1021635","2679.1","","2682.77"
"[ccrz__E_Order__c]","a0n5d00000VVhOLAA1","O-0000021636","0015d00003q4LWd","a0P5d00001E9pJiEAJ","Idemitsu Charleston<br>701 Port Road<br>Jeffersonville, IN 47130<br>United States","Jeffersonville, IN 47130","1","Idemitsu Charleston","","Common Carrier Prepay","","","","1021636","56355","","45559.8"
"[ccrz__E_Order__c]","a0n5d00000VVhOQAA1","O-0000021637","0013h00000zvEDy","a0P5d00001E9pJnEAJ","Southeast Energy Inc, DBA Motor Oils<br>P. O. Box 3722<br>Danville, VA 24543<br>United States","Danville, VA 24543","0","Southeast Energy Inc, DBA Motor Oils","","Common Carrier Prepay","","","","1021637","16270.75","","18977.15"
"[ccrz__E_Order__c]","a0n5d00000VVhOaAAL","O-0000021638","0015d00003q4LWd","a0P5d00001E9pKHEAZ","Idemitsu Charleston<br>701 Port Road<br>Jeffersonville, IN 47130<br>United States","Jeffersonville, IN 47130","1","Idemitsu Charleston","","Common Carrier Prepay","","","","1021638","56355","","45924.84"
"[ccrz__E_Order__c]","a0n5d00000VVhOfAAL","O-0000021639","0015d00003q4MV6","a0P5d00001E9pL5EAJ","Idemitsu Richmond<br>701 Port Road<br>Jeffersonville, IN 47130<br>United States","Jeffersonville, IN 47130","1","Idemitsu Richmond","","Customer Pickup","","","","1021639","208426.8","","168753.78"
"[ccrz__E_Order__c]","a0n5d00000VVhOkAAL","O-0000021640","0013h00000zvDmY","a0P5d00001E9pMIEAZ","R H Crown Company<br>100 North Market Street<br>Johnstown, NY 12095<br>United States","Johnstown, NY 12095","5","R H Crown Company","","ALS Tanker","","","","1021640","45520","","46724.71"
"[ccrz__E_Order__c]","a0n5d00000VVhOuAAL","O-0000021641","0013h00000vLFv7","a0P5d00001E9pNfEAJ","Pennsy Supply, Inc.<br>PO Box 3331<br>Harrisburg, PA 17105<br>United States","Harrisburg, PA 17105","2","Pennsy Supply, Inc.","","Buyback","","","","1021641","2719.19","","2739.84"
"[ccrz__E_Order__c]","a0n5d00000VVhOzAAL","O-0000021642","0013h00000zurZY","a0P5d00001E9pOJEAZ","Tilcon New York<br>P. O. Box 550<br>Thornville, OH 43076<br>United States","Thornville, OH 43076","0","Tilcon New York","","Buyback","","","","1021642","5061.76","","1645"
"[ccrz__E_Order__c]","a0n5d00000VVhP9AAL","O-0000021643","0013h00000t5b9W","a0P5d00001E9quZEAR","Dolomite Products Company, Inc.<br>PO Box 609<br>Thornville, OH 43076<br>United States","Thornville, OH 43076","0","Dolomite Products Company, Inc.","","Common Carrier Prepay","","","","1021643","2923.75","","2089.75"
"[ccrz__E_Order__c]","a0n5d00000VVhPEAA1","O-0000021644","0013h000013OoCs","a0P5d00001E9quyEAB","Sealube Marine Inc<br>3663 N. Sam Houston Parkway E Suite 600<br>Houston, TX 77032<br>United States","Houston, TX 77032","2","Sealube Marine Inc","","ALS Tanker","","","","1021644","9203.69","","16168.46"
"[ccrz__E_Order__c]","a0n5d00000VVhPdAAL","O-0000021645","0013h00000zugVU","a0P5d00001E9qxYEAR","PPC Lubricants<br>305 Micro Drive<br>Jonestown, PA 17038<br>United States","Jonestown, PA 17038","0","PPC Lubricants","","Common Carrier Cust Acct","","","","1021645","2784.88","","3627.28"
"[ccrz__E_Order__c]","a0n5d00000VVhPiAAL","O-0000021646","0013h000013OoCs","a0P5d00001E9qxxEAB","Sealube Marine Inc<br>3663 N. Sam Houston Parkway E Suite 600<br>Houston, TX 77032<br>United States","Houston, TX 77032","0","Sealube Marine Inc","","Common Carrier Prepay","","","","1021646","767.61","","1214.71"
"[ccrz__E_Order__c]","a0n5d00000VVhPnAAL","O-0000021647","0013h00000ztMKZ","a0P5d00001E9qy7EAB","Grade A Petroleum<br>90 East Hawthorne Avenue<br>Valley Stream, NY 11580<br>United States","Valley Stream, NY 11580","0","Grade A Petroleum","","Customer Pickup","","","","1021647","9459.36","","12523.92"
"[ccrz__E_Order__c]","a0n5d00000VVhPsAAL","O-0000021648","0013h00000t5b0Z","a0P5d00001E9qygEAB","Appalachian Aggregates, LLC<br>PO Box 554<br>Dunbar, WV 25064<br>United States","Dunbar, WV 25064","0","Appalachian Aggregates, LLC","","Buyback","","","","1021648","1426.08","","1822.88"
"[ccrz__E_Order__c]","a0n5d00000VVhQHAA1","O-0000021649","0013h00000JQpx8","a0P5d00001E9r1pEAB","Parts Authority LLC<br>3 Dakota Drive<br>New Hyde Park, NY 11042<br>United States","New Hyde Park, NY 11042","4","Parts Authority LLC","","ALS Tanker","","","","1021649","1810.55","","2441.815"
"[ccrz__E_Order__c]","a0n5d00000VVhQRAA1","O-0000021650","0013h000013OoCs","a0P5d00001E9r2nEAB","Sealube Marine Inc<br>3663 N. Sam Houston Parkway E Suite 600<br>Houston, TX 77032<br>United States","Houston, TX 77032","0","Sealube Marine Inc","","Common Carrier Prepay","","","","1021650","87.77","","479.23"
"[ccrz__E_Order__c]","a0n5d00000VVhQWAA1","O-0000021651","0013h00000vLFIj","a0P5d00001E9r32EAB","Oldcastle APG Northeast, Inc.<br>331 Springs Road, Suite 236<br>Red Bank, NJ 07701<br>United States","Red Bank, NJ 07701","0","Oldcastle APG Northeast, Inc.","","Buyback","","","","1021651","1737.02","","2131.4"
"[ccrz__E_Order__c]","a0n5d00000VVhQlAAL","O-0000021652","0013h00000t5b0Z","a0P5d00001E9r3vEAB","Appalachian Aggregates, LLC<br>PO Box 554<br>Dunbar, WV 25064<br>United States","Dunbar, WV 25064","0","Appalachian Aggregates, LLC","","Common Carrier Prepay","","","","1021652","572.99","","1007.34"
"[ccrz__E_Order__c]","a0n5d00000VVhR0AAL","O-0000021653","0013h00000JQpl3","a0P5d00001E9r6uEAB","AutoPro Spring Valley<br>303 Roosevelt Ave<br>Spring Valley, NY 10977<br>United States","Spring Valley, NY 10977","0","AutoPro Spring Valley","","Buyback","","","","1021653","260.7","","444.28"
"[ccrz__E_Order__c]","a0n5d00000VVhRKAA1","O-0000021654","0013h00000JQpl3","a0P5d00001E9r7nEAB","AutoPro Spring Valley<br>303 Roosevelt Ave<br>Spring Valley, NY 10977<br>United States","Spring Valley, NY 10977","0","AutoPro Spring Valley","","Buyback","","","","1021654","1353.55","","1755.12"
"[ccrz__E_Order__c]","a0n5d00000VVhReAAL","O-0000021655","0013h00000JQpql","a0P5d00001E9rCnEAJ","Dixieland Energy<br>PO Box 459<br>Rising Sun, MD 21911<br>United States","Rising Sun, MD 21911","0","Dixieland Energy","","Customer Pickup","","","","1021655","21373.02","","20663.85"
"[ccrz__E_Order__c]","a0n5d00000VVhY0AAL","O-0000021656","0013h00000zugGd","a0P5d00001E9rJjEAJ","Petrochoice<br>640 Freedom Business Center Drive Suite 400<br>Fort Washington, PA 19034<br>United States","Fort Washington, PA 19034","4","Petrochoice","","ALS Tanker","","","","1021656","37945","","46155.7"
"[ccrz__E_Order__c]","a0n5d00000VVhYyAAL","O-0000021657","0013h00000zugGd","a0P5d00001E9rMOEAZ","Petrochoice<br>640 Freedom Business Center Drive Suite 400<br>Fort Washington, PA 19034<br>United States","Fort Washington, PA 19034","4","Petrochoice","","ALS Tanker","","","","1021657","35900","","46962.15"
"[ccrz__E_Order__c]","a0n5d00000VVhZ8AAL","O-0000021658","0013h00000JQpx8","a0P5d00001E9rNbEAJ","Parts Authority LLC<br>3 Dakota Drive<br>New Hyde Park, NY 11042<br>United States","New Hyde Park, NY 11042","0","Parts Authority LLC","","Buyback","","","","1021658","192.28","","183.56"
"[ccrz__E_Order__c]","a0n5d00000VVhZcAAL","O-0000021659","0013h00000zugnW","a0P5d00001E9rQ6EAJ","Tilcon Connecticut, Inc<br>P. O. Box 839<br>Thornville, OH 43076<br>United States","Thornville, OH 43076","1","Tilcon Connecticut, Inc","","Buyback","","","","1021659","2485.4","","2485.4"
"[ccrz__E_Order__c]","a0n5d00000VVhZrAAL","O-0000021660","0013h00000zugGd","a0P5d00001E9rT0EAJ","Petrochoice<br>640 Freedom Business Center Drive Suite 400<br>Fort Washington, PA 19034<br>United States","Fort Washington, PA 19034","4","Petrochoice","","ALS Tanker","","","","1021660","36720","","46995.84"
"[ccrz__E_Order__c]","a0n5d00000VVha1AAD","O-0000021661","0013h00000zvDNl","a0P5d00001E9rVDEAZ","Vesco Oil Corporation<br>P. O. Box 525<br>Southfield, MI 48037<br>United States","Southfield, MI 48037","0","Vesco Oil Corporation","","Third Party","","","","1021661","3857.3","","3959.67"
"[ccrz__E_Order__c]","a0n5d00000VVhaBAAT","O-0000021662","0013h00000zssaO","a0P5d00001E9rWaEAJ","Brenntag Lubricants Northeast<br>1064 Goffs Falls Road<br>Manchester, NH 03103<br>United States","Manchester, NH 03103","3","Brenntag Lubricants Northeast","","ALS Tanker","","","","1021662","40770","","46587.85"
"[ccrz__E_Order__c]","a0n5d00000VVhbNAAT","O-0000021663","0013h000012WuWE","a0P5d00001E9rbpEAB","Reit Lubricants<br>899 Mearns Road<br>Warminster, PA 18974<br>United States","Warminster, PA 18974","0","Reit Lubricants","","Customer Pickup","","","","1021663","4946.94","","2374.92"
"[ccrz__E_Order__c]","a0n5d00000VVhbSAAT","O-0000021664","0013h00000zu3dE","a0P5d00001E9re0EAB","Hough Petroleum Corp<br>340 4th Street<br>Ewing, NJ 08638<br>United States","Ewing, NJ 08638","3","Hough Petroleum Corp","","Customer Pickup","","","","1021664","23461","","25623.7"
"[ccrz__E_Order__c]","a0n5d00000VVhbXAAT","O-0000021665","0013h00000zugGd","a0P5d00001E9re5EAB","Petrochoice<br>640 Freedom Business Center Drive Suite 400<br>Fort Washington, PA 19034<br>United States","Fort Washington, PA 19034","4","Petrochoice","","Customer Pickup","","","","1021665","41165","","46807.49"
"[ccrz__E_Order__c]","a0n5d00000VVhc1AAD","O-0000021666","0015d00003YIYVG","a0P5d00001E9rfSEAR","Purvis Brothers Inc<br>321 Mars Valencia Rd<br>Mars, PA 16046<br>United States","Mars, PA 16046","0","Purvis Brothers Inc","","Common Carrier Prepay","","","","1021666","548.76","","562.68"
"[ccrz__E_Order__c]","a0n5d00000VVhckAAD","O-0000021667","0013h000012WuSU","a0P5d00001E9rilEAB","R. K. Allen Oil Company<br>P. O. Box 456<br>Talladega, AL 35161<br>United States","Talladega, AL 35161","0","R. K. Allen Oil Company","","Common Carrier Prepay","","","","1021667","48588.63","","36352.01"
"[ccrz__E_Order__c]","a0n5d00000VVhsoAAD","O-0000021668","0013h00000t5vSW","a0P5d00001E9sNLEAZ","Lukoil North America LLC<br>505 5th Avenue 9th Floor<br>New York, NY 10017<br>United States","New York, NY 10017","1","Lukoil North America LLC","","Buyback","","","","1021668","1236","","1450"
"[ccrz__E_Order__c]","a0n5d00000VVhstAAD","O-0000021669","0013h00000vLFv7","a0P5d00001E9sPREAZ","Pennsy Supply, Inc.<br>PO Box 3331<br>Harrisburg, PA 17105<br>United States","Harrisburg, PA 17105","2","Pennsy Supply, Inc.","","Buyback","","","","1021669","4972.2","","5930.34"
"[ccrz__E_Order__c]","a0n5d00000VVhtDAAT","O-0000021670","0015d00003RxBbX","a0P5d00001E9sT4EAJ","Ocean State Oil, Inc<br>123 Ocean State Dr<br>North Kingstown, RI 02852<br>United States","North Kingstown, RI 02852","3","Ocean State Oil, Inc","","ALS Tanker","","","","1021670","48122","","47628.91"
"[ccrz__E_Order__c]","a0n5d00000VVhthAAD","O-0000021671","0013h00000zurZY","a0P5d00001E9sV5EAJ","Tilcon New York<br>P. O. Box 550<br>Thornville, OH 43076<br>United States","Thornville, OH 43076","4","Tilcon New York","","Buyback","","","","1021671","12392.96","","14048.5"
"[ccrz__E_Order__c]","a0n5d00000VVhtmAAD","O-0000021672","0013h00000zurZY","a0P5d00001E9sVUEAZ","Tilcon New York<br>P. O. Box 550<br>Thornville, OH 43076<br>United States","Thornville, OH 43076","0","Tilcon New York","","Buyback","","","","1021672","2485.8","","720"
"[ccrz__E_Order__c]","a0n5d00000VVhtwAAD","O-0000021673","0013h00000ztECl","a0P5d00001E9sWwEAJ","Emerson Oil Company<br>545 Lyell Avenue<br>Rochester, NY 14606<br>United States","Rochester, NY 14606","1","Emerson Oil Company","","Customer Pickup","","","","1021673","20995","","44876.22"
"[ccrz__E_Order__c]","a0n5d00000VVhw3AAD","O-0000021674","0013h00000JQpyQ","a0P5d00001E9sdTEAR","Parts Authority LLC<br>3 Dakota Drive<br>New Hyde Park, NY 11042<br>United States","New Hyde Park, NY 11042","0","Parts Authority LLC","","Buyback","","","","1021674","48.07","","45.89"
"[ccrz__E_Order__c]","a0n5d00000VVhwoAAD","O-0000021675","0013h00000zvCoA","a0P5d00001E9siGEAR","Transaxle, LLC<br>2501 Route 73 South P. O. Box 2306<br>Cinnaminson, NJ 08077<br>United States","Cinnaminson, NJ 08077","0","Transaxle, LLC","","Buyback","","","","1021675","382.04","","160.72"
"[ccrz__E_Order__c]","a0n5d00000VVhwyAAD","O-0000021676","0013h00000zvCoA","a0P5d00001E9sifEAB","Transaxle, LLC<br>2501 Route 73 South P. O. Box 2306<br>Cinnaminson, NJ 08077<br>United States","Cinnaminson, NJ 08077","0","Transaxle, LLC","","Buyback","","","","1021676","1602.43","","809.21"
"[ccrz__E_Order__c]","a0n5d00000VVhxNAAT","O-0000021677","0013h00000JQpl3","a0P5d00001E9sk7EAB","AutoPro Spring Valley<br>303 Roosevelt Ave<br>Spring Valley, NY 10977<br>United States","Spring Valley, NY 10977","1","AutoPro Spring Valley","","Buyback","","","","1021677","1562.78","","1462.731"
"[ccrz__E_Order__c]","a0n5d00000VVhzFAAT","O-0000021678","0013h00000zufXh","a0P5d00001E9srDEAR","Inland Vacuum Industries<br>P. O. Box 373<br>Churchville, NY 14428<br>United States","Churchville, NY 14428","1","Inland Vacuum Industries","","ALS Tanker","","","","1021678","42510","","47103.44"
"[ccrz__E_Order__c]","a0n5d00000VVhzUAAT","O-0000021679","0013h00000zvDrd","a0P5d00001E9srwEAB","K-Bros<br>70 Scott Drive<br>Westbrook, ME 04092<br>United States","Westbrook, ME 04092","4","K-Bros","","ALS Tanker","","","","1021679","48144","","47516.22"
"[ccrz__E_Order__c]","a0n5d00000VVhzeAAD","O-0000021680","0013h00000zvDrd","a0P5d00001E9ssaEAB","K-Bros<br>70 Scott Drive<br>Westbrook, ME 04092<br>United States","Westbrook, ME 04092","4","K-Bros","","ALS Tanker","","","","1021680","45079","","47552.4"
"[ccrz__E_Order__c]","a0n5d00000VVi0TAAT","O-0000021681","0015d00003q4MV6","a0P5d00001E9swBEAR","Idemitsu Richmond<br>701 Port Road<br>Jeffersonville, IN 47130<br>United States","Jeffersonville, IN 47130","1","Idemitsu Richmond","","Customer Pickup","","","","1021681","52020","","42120"
"[ccrz__E_Order__c]","a0n5d00000VVi0dAAD","O-0000021682","0013h00000zugGd","a0P5d00001E9sybEAB","Petrochoice<br>640 Freedom Business Center Drive Suite 400<br>Fort Washington, PA 19034<br>United States","Fort Washington, PA 19034","4","Petrochoice","","ALS Tanker","","","","1021682","25290","","47305.9"
"[ccrz__E_Order__c]","a0n5d00000VVi17AAD","O-0000021683","0013h00000zuDTV","a0P5d00001E9t2iEAB","Fisher Auto Parts Inc<br>512 Greenville Ave<br>Staunton, VA 24401<br>United States","Staunton, VA 24401","1","Fisher Auto Parts Inc","","Buyback","","","","1021683","957.48","","1464.5"
"[ccrz__E_Order__c]","a0n5d00000VVi2PAAT","O-0000021684","0013h00000ztMKZ","a0P5d00001E9tDvEAJ","Grade A Petroleum<br>90 East Hawthorne Avenue<br>Valley Stream, NY 11580<br>United States","Valley Stream, NY 11580","0","Grade A Petroleum","","Customer Pickup","","","","1021684","2419.02","","1760.52"
"[ccrz__E_Order__c]","a0n5d00000VVi2UAAT","O-0000021685","0013h00000ztDeQ","a0P5d00001E9tEjEAJ","David Webber Oil Company<br>601 Industrial Road<br>Carlstadt, NJ 07072<br>United States","Carlstadt, NJ 07072","0","David Webber Oil Company","","Customer Pickup","","","","1021685","2448.84","","1863.36"
"[ccrz__E_Order__c]","a0n5d00000VVi30AAD","O-0000021686","0013h00000JQpql","a0P5d00001E9tICEAZ","Dixieland Energy<br>PO Box 459<br>Rising Sun, MD 21911<br>United States","Rising Sun, MD 21911","2","Dixieland Energy","","Customer Pickup","","","","1021686","13.13503","","14300"
"[ccrz__E_Order__c]","a0n5d00000VVi3PAAT","O-0000021687","0013h00000vLrqN","a0P5d00001E9tOkEAJ","PJ Keating Company<br>PO Box 660<br>Thornville, OH 43076<br>United States","Thornville, OH 43076","0","PJ Keating Company","","Common Carrier Prepay","","","","1021687","2485.8","","720"
"[ccrz__E_Order__c]","a0n5d00000VVi3ZAAT","O-0000021688","0013h00000vLrpk","a0P5d00001E9tPJEAZ","Preferred Materials Inc<br>4636 Scarborough Drive<br>Lutz, FL 33559<br>United States","Lutz, FL 33559","0","Preferred Materials Inc","","Buyback","","","","1021688","2443.85","","1332.79"
"[ccrz__E_Order__c]","a0n5d00000VVi3eAAD","O-0000021689","0013h00000ztMKZ","a0P5d00001E9tQCEAZ","Grade A Petroleum<br>90 East Hawthorne Avenue<br>Valley Stream, NY 11580<br>United States","Valley Stream, NY 11580","4","Grade A Petroleum","","ALS Tanker","","","","1021689","39750","","46762.64"
"[ccrz__E_Order__c]","a0n5d00000VVi4IAAT","O-0000021690","0013h00000zssaO","a0P5d00001E9tSNEAZ","Brenntag Lubricants Northeast<br>1064 Goffs Falls Road<br>Manchester, NH 03103<br>United States","Manchester, NH 03103","0","Brenntag Lubricants Northeast","","Customer Pickup","","","","1021690","40597.91","","32830.13"
"[ccrz__E_Order__c]","a0n5d00000VVi78AAD","O-0000021691","0015d00003mxwuZ","a0P5d00001E9tYkEAJ","Pacific Precision Formulators<br>5511 District Boulevard<br>Vernon, CA 90058<br>United States","Vernon, CA 90058","3","Pacific Precision Formulators","","ALS Tanker","","","","1021691","9440","","50000"
"[ccrz__E_Order__c]","a0n5d00000VViGsAAL","O-0000021692","0015d00003kZDXS","a0P5d00001E9txfEAB","AutoZone<br>123 South Front St<br>Memphis, TN 38103<br>United States","Memphis, TN 38103","0","AutoZone","","Buyback","","","","1021692","3471.6","","5345.88"
"[ccrz__E_Order__c]","a0n5d00000VViH2AAL","O-0000021693","0015d00003q1h5p","a0P5d00001E9ty9EAB","First Class Automotive<br>213 E Blackwell Street<br>Dover, NJ 07801<br>United States","Dover, NJ 07801","0","First Class Automotive","","Buyback","","","","1021693","381.46","","2223.67"
"[ccrz__E_Order__c]","a0n5d00000VViHMAA1","O-0000021694","0013h00000JQpwo","a0P5d00001E9tzCEAR","Parts Authority LLC<br>3 Dakota Drive<br>New Hyde Park, NY 11042<br>United States","New Hyde Park, NY 11042","0","Parts Authority LLC","","Buyback","","","","1021694","524.53","","455.95"
"[ccrz__E_Order__c]","a0n5d00000VViMjAAL","O-0000021695","0013h00000JQpl3","a0P5d00001E9uYcEAJ","AutoPro Spring Valley<br>303 Roosevelt Ave<br>Spring Valley, NY 10977<br>United States","Spring Valley, NY 10977","0","AutoPro Spring Valley","","Buyback","","","","1021695","579.15","","878.44"
"[ccrz__E_Order__c]","a0n5d00000VViWFAA1","O-0000021696","0013h000012WicW","a0P5d00001E9wHxEAJ","McNutt Oil Company<br>P. O. Box 4669<br>Maryville, TN 37802<br>United States","Maryville, TN 37802","0","McNutt Oil Company","","Common Carrier Cust Acct","","","","1021696","1888.68","","1779.88"
"[ccrz__E_Order__c]","a0n5d00000VViWKAA1","O-0000021697","0013h000012WitZ","a0P5d00001E9wJoEAJ","Modern Handling Equipment Company<br>2501 Durham Road<br>Bristol, PA 19007<br>United States","Bristol, PA 19007","0","Modern Handling Equipment Company","","Customer Pickup","","","","1021697","1270.08","","1703.1"
"[ccrz__E_Order__c]","a0n5d00000VViWPAA1","O-0000021698","0015d00003q4MV6","a0P5d00001E9wMdEAJ","Idemitsu Richmond<br>701 Port Road<br>Jeffersonville, IN 47130<br>United States","Jeffersonville, IN 47130","1","Idemitsu Richmond","","Customer Pickup","","","","1021698","58956","","47736"
"[ccrz__E_Order__c]","a0n5d00000VViWUAA1","O-0000021699","0015d00003qx8T6","a0P5d00001E9wNMEAZ","Maxima Racing Oils<br>9266 Abraham Way<br>Santee, CA 92071<br>United States","Santee, CA 92071","3","Maxima Racing Oils","","Common Carrier Prepay","","","","1021699","15104","","47376"
"[ccrz__E_Order__c]","a0n5d00000VViWZAA1","O-0000021700","0013h000013Onaz","a0P5d00001E9wOeEAJ","Idemitsu Lubricants America Corp<br>701 Port Road<br>Jeffersonville, IN 47130<br>United States","Jeffersonville, IN 47130","1","Idemitsu Lubricants America Corp","","ALS Tanker","","","","1021700","56355","","45482.58"
"[ccrz__E_Order__c]","a0n5d00000VViWeAAL","O-0000021701","0015d00003kahIq","a0P5d00001E9wOtEAJ","Bosco Oil Inc DBA Valley Oil<br>785 Yuba Drive<br>Mountain View, CA 94041<br>United States","Mountain View, CA 94041","4","Bosco Oil Inc DBA Valley Oil","","Common Carrier Prepay","","","","1021701","39700","","50655"
"[ccrz__E_Order__c]","a0n5d00000VViWjAAL","O-0000021702","0013h00000ztMKZ","a0P5d00001E9wQQEAZ","Grade A Petroleum<br>90 East Hawthorne Avenue<br>Valley Stream, NY 11580<br>United States","Valley Stream, NY 11580","0","Grade A Petroleum","","Customer Pickup","","","","1021702","7944.72","","8148"
"[ccrz__E_Order__c]","a0n5d00000VViWoAAL","O-0000021703","0013h00000t5vSE","a0P5d00001E9wR9EAJ","Lukoil North America LLC<br>505 5th Avenue 9th Floor<br>New York, NY 10017<br>United States","New York, NY 10017","0","Lukoil North America LLC","","Buyback","","","","1021703","696.95","","598.95"
"[ccrz__E_Order__c]","a0n5d00000VViWyAAL","O-0000021704","0013h00000zurZY","a0P5d00001E9wSCEAZ","Tilcon New York<br>P. O. Box 550<br>Thornville, OH 43076<br>United States","Thornville, OH 43076","1","Tilcon New York","","Buyback","","","","1021704","1037.61","","1778.76"
"[ccrz__E_Order__c]","a0n5d00000VViX3AAL","O-0000021705","0013h00000zugVU","a0P5d00001E9wSWEAZ","PPC Lubricants<br>305 Micro Drive<br>Jonestown, PA 17038<br>United States","Jonestown, PA 17038","0","PPC Lubricants","","Customer Pickup","","","","1021705","1653.8","","1808.16"
