"_","Id","Company__c","CreatedById","CreatedDate","ECOGroupID__c","MtlPartNum__c","MtlSeq__c","Operations__c","PartNum__c","Plant__c","PullAsAsm__c","QtyPer__c","RelatedOperation__c","RevisionNum__c","SystemModstamp"
"[Materials__c]","a5Q5d000000CxSYEA0","JC","0053h000003HAl9AAG","2023-07-24T20:16:55.000+0000","bgonnelli","PA2-00010","30","a5R5d0000009IKIEA2","TL-17185","ALS001","false","1","10","1","2023-07-24T20:16:55.000+0000"
"[Materials__c]","a5Q5d000000CxSbEAK","JC","0053h000003HAl9AAG","2023-07-24T20:17:11.000+0000","bgonnelli","LA2-00044","40","a5R5d0000009IKIEA2","TL-17185","ALS001","false","1","10","1","2023-07-24T20:17:11.000+0000"
"[Materials__c]","a5Q5d000000CxScEAK","JC","0053h000003HAl9AAG","2023-07-24T20:17:29.000+0000","bgonnelli","PT1-00002","50","a5R5d0000009IKIEA2","TL-17185","ALS001","false","0.0238","10","1","2023-07-24T20:17:29.000+0000"
"[Materials__c]","a5Q5d000000CxSdEAK","JC","0053h000003HAl9AAG","2023-07-24T20:20:44.000+0000","bgonnelli","LA2-00043","40","a5R5d0000009IKXEA2","TL-17065","ALS001","false","1","10","1","2023-07-24T20:20:44.000+0000"
"[Materials__c]","a5Q5d000000CxSgEAK","JC","0053h000003HAl9AAG","2023-07-24T20:19:45.000+0000","bgonnelli","310","10","a5R5d0000009IKXEA2","TL-17065","ALS001","false","5","10","1","2023-08-23T17:01:57.000+0000"
"[Materials__c]","a5Q5d000000CxShEAK","JC","0053h000003HAl9AAG","2023-07-24T20:19:59.000+0000","bgonnelli","PA1-00023","20","a5R5d0000009IKXEA2","TL-17065","ALS001","false","1","10","1","2023-07-24T20:19:59.000+0000"
"[Materials__c]","a5Q5d000000CxSlEAK","JC","0053h000003HAl9AAG","2023-07-24T20:20:28.000+0000","bgonnelli","PA2-00009","30","a5R5d0000009IKXEA2","TL-17065","ALS001","false","1","10","1","2023-07-24T20:20:28.000+0000"
"[Materials__c]","a5Q5d000000CxSmEAK","JC","0053h000003HAl9AAG","2023-07-24T20:21:00.000+0000","bgonnelli","PT1-00002","50","a5R5d0000009IKXEA2","TL-17065","ALS001","false","0.0238","10","1","2023-07-24T20:21:00.000+0000"
"[Materials__c]","a5Q5d000000CxieEAC","JC","0053h000003HAl9AAG","2023-07-26T13:52:55.000+0000","bgonnelli","748","10","a5R5d0000009J2yEAE","2502104","ALS001","false","5","10","1","2023-07-26T13:52:55.000+0000"
"[Materials__c]","a5Q5d000000CxifEAC","JC","0053h000003HAl9AAG","2023-07-26T13:53:29.000+0000","bgonnelli","CB2-00008","30","a5R5d0000009J2yEAE","2502104","ALS001","false","4","10","1","2023-07-26T13:53:29.000+0000"
"[Materials__c]","a5Q5d000000CxigEAC","JC","0053h000003HAl9AAG","2023-07-26T13:59:26.000+0000","bgonnelli","PT1-00002","70","a5R5d0000009J3XEAU","2502204","ALS001","false","0.02","10","1","2023-07-26T13:59:26.000+0000"
"[Materials__c]","a5Q5d000000CxijEAC","JC","0053h000003HAl9AAG","2023-07-26T13:53:11.000+0000","bgonnelli","BT5-00001","20","a5R5d0000009J2yEAE","2502104","ALS001","false","4","10","1","2023-07-26T13:53:11.000+0000"
